,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount,Votes
8724,805,65272,5680,7035,143,1425,11,0.0,3,6892
8725,805,65272,5680,7035,143,1723,8,0.0,4,6892
8726,805,65272,5680,7035,143,1724,5,0.0,0,6892
8727,805,65272,5680,7035,143,2434,2,0.0,4,6892
8728,805,65272,5680,7035,143,2589,2,0.0,0,6892
8729,805,65272,5680,7035,143,2604,8,0.0,5,6892
8730,805,65272,5680,7035,143,3154,5,0.0,0,6892
8731,805,65272,5680,7035,143,3579,2,0.0,0,6892
8732,805,65272,5680,7035,143,3625,3,0.0,0,6892
8733,805,65272,5680,7035,143,3735,6,0.0,0,6892
8734,805,65272,5680,7035,143,9603,0,0.0,2,6892
8735,805,65272,5680,7035,143,9855,0,0.0,0,6892
8736,805,65272,5680,7035,143,14900,2,0.0,1,6892
8737,805,65272,5680,7035,143,15825,2,0.0,0,6892
8738,805,65272,5680,7035,143,25002,1,0.0,4,6892
8739,805,65272,5680,7035,143,25412,1,0.0,0,6892
8740,805,65272,5680,7035,143,27881,2,0.0,3,6892
8741,805,65272,5680,7035,143,29076,4,0.0,2,6892
8742,805,65272,5680,7035,143,29954,5,230.0,5,6892
8743,805,65272,5680,7035,143,30427,1,0.0,0,6892
8744,805,65272,5680,7035,143,30492,11,0.0,7,6892
8745,805,65272,5680,7035,143,30619,3,0.0,3,6892
8746,805,65272,5680,7035,143,31568,1,0.0,0,6892
8747,805,65272,5680,7035,143,32759,0,0.0,0,6892
8748,805,65272,5680,7035,143,33237,3,0.0,3,6892
8749,805,65272,5680,7035,143,36220,20,0.0,5,6892
8750,805,65272,5680,7035,143,37718,2,0.0,1,6892
8751,805,65272,5680,7035,143,37789,3,0.0,1,6892
8752,805,65272,5680,7035,143,37831,4,0.0,3,6892
8753,805,65272,5680,7035,143,38298,1,0.0,0,6892
8754,805,65272,5680,7035,143,38974,6,0.0,2,6892
8755,805,65272,5680,7035,143,40355,3,0.0,1,6892
8756,805,65272,5680,7035,143,40412,1,0.0,0,6892
8757,805,65272,5680,7035,143,40626,1,0.0,0,6892
8758,805,65272,5680,7035,143,40908,1,0.0,0,6892
8759,805,65272,5680,7035,143,40913,1,0.0,0,6892
8760,805,65272,5680,7035,143,40919,3,0.0,0,6892
8761,805,65272,5680,7035,143,41144,1,0.0,4,6892
8762,805,65272,5680,7035,143,41233,9,0.0,0,6892
8763,805,65272,5680,7035,143,41340,2,0.0,0,6892
8764,805,65272,5680,7035,143,41475,2,0.0,2,6892
8765,805,65272,5680,7035,143,41554,4,0.0,0,6892
8766,805,65272,5680,7035,143,41623,3,0.0,2,6892
8767,805,65272,5680,7035,143,41653,2,0.0,0,6892
8768,805,65272,5680,7035,143,41659,7,0.0,0,6892
8769,805,65272,5680,7035,143,41705,2,0.0,0,6892
8770,805,65272,5680,7035,143,41747,1,0.0,6,6892
8771,805,65272,5680,7035,143,41905,12,0.0,2,6892
8772,805,65272,5680,7035,143,42958,1,0.0,0,6892
8773,805,65272,5680,7035,143,42968,1,0.0,5,6892
8774,805,65272,5680,7035,143,43281,1,0.0,8,6892
8775,805,65272,5680,7035,143,43325,2,0.0,1,6892
8776,805,65272,5680,7035,143,43371,2,0.0,3,6892
8777,805,65272,5680,7035,143,43526,5,0.0,0,6892
8778,805,65272,5680,7035,143,43907,3,0.0,0,6892
8779,805,65272,5680,7035,143,43921,1,0.0,0,6892
8780,805,65272,5680,7035,143,44152,1,0.0,1,6892
8781,805,65272,5680,7035,143,44217,3,0.0,0,6892
8782,805,65272,5680,7035,143,44237,1,0.0,1,6892
8783,805,65272,5680,7035,143,44249,0,0.0,5,6892
8784,805,65272,5680,7035,143,44251,7,0.0,3,6892
8785,805,65272,5680,7035,143,44361,1,0.0,0,6892
8786,805,65272,5680,7035,143,44367,1,0.0,1,6892
8787,805,65272,5680,7035,143,44476,15,0.0,9,6892
8788,805,65272,5680,7035,143,44556,2,0.0,4,6892
8789,805,65272,5680,7035,143,44654,1,0.0,0,6892
8790,805,65272,5680,7035,143,44660,5,0.0,0,6892
8791,805,65272,5680,7035,143,44812,2,0.0,1,6892
8792,805,65272,5680,7035,143,44818,6,0.0,2,6892
8793,805,65272,5680,7035,143,44827,2,0.0,4,6892
8794,805,65272,5680,7035,143,44882,1,0.0,0,6892
8795,805,65272,5680,7035,143,44923,5,0.0,2,6892
8796,805,65272,5680,7035,143,45047,0,0.0,0,6892
8797,805,65272,5680,7035,143,45049,4,0.0,5,6892
8798,805,65272,5680,7035,143,45138,1,0.0,3,6892
8799,805,65272,5680,7035,143,45143,11,0.0,3,6892
8800,805,65272,5680,7035,143,45154,5,0.0,3,6892
8801,805,65272,5680,7035,143,45227,3,0.0,2,6892
8802,805,65272,5680,7035,143,45324,0,0.0,0,6892
8803,805,65272,5680,7035,143,45325,0,0.0,0,6892
8804,805,65272,5680,7035,143,45461,1,0.0,0,6892
8805,805,65272,5680,7035,143,45462,1,0.0,0,6892
8806,805,65272,5680,7035,143,45467,1,0.0,1,6892
8807,805,65272,5680,7035,143,45690,2,0.0,0,6892
8808,805,65272,5680,7035,143,45692,2,0.0,8,6892
8809,805,65272,5680,7035,143,45891,3,0.0,0,6892
8810,805,65272,5680,7035,143,46017,4,0.0,1,6892
8811,805,65272,5680,7035,143,46047,12,0.0,1,6892
8812,805,65272,5680,7035,143,46267,7,0.0,4,6892
8813,805,65272,5680,7035,143,46353,1,0.0,4,6892
8814,805,65272,5680,7035,143,46419,18,0.0,11,6892
8815,805,65272,5680,7035,143,46539,10,0.0,0,6892
8816,805,65272,5680,7035,143,46541,1,0.0,0,6892
8817,805,65272,5680,7035,143,46542,3,0.0,3,6892
8818,805,65272,5680,7035,143,46790,1,0.0,0,6892
8819,805,65272,5680,7035,143,46930,8,0.0,6,6892
8820,805,65272,5680,7035,143,47047,3,0.0,5,6892
8821,805,65272,5680,7035,143,47052,1,0.0,4,6892
8822,805,65272,5680,7035,143,47289,7,0.0,0,6892
8823,805,65272,5680,7035,143,47375,1,0.0,1,6892
8824,805,65272,5680,7035,143,47386,1,0.0,0,6892
